Timestamp,GT_t,Prediction,Latency_ms,Contamination_Ratio,Deviation_Score,Model_Prob
24338,0.0,1.0,23828,0.0,51060.784747846374,0.5394216258904712
24339,0.0,1.0,23829,0.0,51060.784747846374,0.5394216258904712
24340,0.0,1.0,23830,0.0,51060.784747846374,0.5394216258904712
24341,0.0,1.0,23831,0.0,51060.784747846374,0.5394216258904712
24342,0.0,1.0,23832,0.0,51060.784747846374,0.5394216258904712
24343,0.0,1.0,23833,0.0,50956.18359249154,0.5394216258904712
24344,0.0,1.0,23834,0.0,50956.18359249154,0.5394216258904712
24345,0.0,1.0,23835,0.0,50968.923356524894,0.5394216258904712
24346,0.0,1.0,23836,0.0,50968.923356524894,0.5394216258904712
24347,0.0,1.0,23837,0.0,50968.923356524894,0.5394216258904712
24348,0.0,1.0,23838,0.0,50968.923356524894,0.5394216258904712
24349,0.0,1.0,23839,0.0,50968.923356524894,0.5394216258904712
24350,0.0,1.0,23840,0.0,50968.923356524894,0.5394216258904712
24351,0.0,1.0,23841,0.0,50968.923356524894,0.5394216258904712
24352,0.0,1.0,23842,0.0,50968.923356524894,0.5394216258904712
24353,0.0,1.0,23843,0.0,51017.76224574258,0.5394216258904712
24354,0.0,1.0,23844,0.0,51017.76224574258,0.5394216258904712
24355,0.0,1.0,23845,0.0,51017.76224574258,0.5394216258904712
24356,0.0,1.0,23846,0.0,51017.76224574258,0.5394216258904712
24357,0.0,1.0,23847,0.0,51017.76224574258,0.5394216258904712
24358,0.0,1.0,23848,0.0,51017.76224574258,0.5394216258904712
24359,0.0,1.0,23849,0.0,51017.76224574258,0.5394216258904712
24360,0.0,1.0,23850,0.0,51017.76224574258,0.5394216258904712
24361,0.0,1.0,23851,0.0,51017.76224574258,0.5394216258904712
24362,0.0,1.0,23852,0.0,51017.76224574258,0.5394216258904712
24363,0.0,1.0,23853,0.0,50898.43249721223,0.5394216258904712
24364,0.0,1.0,23854,0.0,51092.24952587867,0.5394216258904712
24365,0.0,1.0,23855,0.0,51092.24952587867,0.5394216258904712
24366,0.0,1.0,23856,0.0,51092.24952587867,0.5394216258904712
24367,0.0,1.0,23857,0.0,51092.24952587867,0.5394216258904712
24368,0.0,1.0,23858,0.0,51092.24952587867,0.5394216258904712
24369,0.0,1.0,23859,0.0,51092.24952587867,0.5394216258904712
24370,0.0,1.0,23860,0.0,51092.24952587867,0.5394216258904712
24371,0.0,1.0,23861,0.0,51092.24952587867,0.5394216258904712
24372,0.0,1.0,23862,0.0,51092.24952587867,0.5394216258904712
24373,0.0,1.0,23863,0.0,51092.24952587867,0.5394216258904712
24374,0.0,1.0,23864,0.0,51027.387428289134,0.5394216258904712
24375,0.0,1.0,23865,0.0,51027.387428289134,0.5394216258904712
24376,0.0,1.0,23866,0.0,51027.387428289134,0.5394216258904712
24377,0.0,1.0,23867,0.0,51027.387428289134,0.5394216258904712
24378,0.0,1.0,23868,0.0,50977.873087664666,0.5394216258904712
24379,0.0,1.0,23869,0.0,50977.873087664666,0.5394216258904712
24380,0.0,1.0,23870,0.0,50986.6164308746,0.5394216258904712
24381,0.0,1.0,23871,0.0,50986.6164308746,0.5394216258904712
24382,0.0,1.0,23872,0.0,50986.6164308746,0.5394216258904712
24383,0.0,1.0,23873,0.0,50986.6164308746,0.5394216258904712
24384,0.0,1.0,23874,0.0,51022.67803098079,0.5394216258904712
24385,0.0,1.0,23875,0.0,51022.67803098079,0.5394216258904712
24386,0.0,1.0,23876,0.0,51022.67803098079,0.5394216258904712
24387,0.0,1.0,23877,0.0,51022.67803098079,0.5394216258904712
24388,0.0,1.0,23878,0.0,51022.67803098079,0.5394216258904712
24389,0.0,1.0,23879,0.0,51022.67803098079,0.5394216258904712
24390,0.0,1.0,23880,0.0,51022.67803098079,0.5394216258904712
24391,0.0,1.0,23881,0.0,51022.67803098079,0.5394216258904712
24392,0.0,1.0,23882,0.0,51022.67803098079,0.5394216258904712
24393,0.0,1.0,23883,0.0,51022.67803098079,0.5394216258904712
24394,0.0,1.0,23884,0.0,50980.387267901,0.5394216258904712
24395,0.0,1.0,23885,0.0,50980.387267901,0.5394216258904712
24396,0.0,1.0,23886,0.0,51020.295188517994,0.5394216258904712
24397,0.0,1.0,23887,0.0,51020.295188517994,0.5394216258904712
24398,0.0,1.0,23888,0.0,51020.295188517994,0.5394216258904712
24399,0.0,1.0,23889,0.0,51020.295188517994,0.5394216258904712
24400,0.0,1.0,23890,0.0,51020.295188517994,0.5394216258904712
24401,0.0,1.0,23891,0.0,51020.295188517994,0.5394216258904712
24402,0.0,1.0,23892,0.0,51020.295188517994,0.5394216258904712
24403,0.0,1.0,23893,0.0,51020.295188517994,0.5394216258904712
24404,0.0,1.0,23894,0.0,51020.295188517994,0.5394216258904712
24405,0.0,1.0,23895,0.0,51020.295188517994,0.5394216258904712
24406,0.0,1.0,23896,0.0,50992.4328179885,0.5394216258904712
24407,0.0,1.0,23897,0.0,50992.4328179885,0.5394216258904712
24408,0.0,1.0,23898,0.0,50992.4328179885,0.5394216258904712
24409,0.0,1.0,23899,0.0,50992.4328179885,0.5394216258904712
24410,0.0,1.0,23900,0.0,50992.4328179885,0.5394216258904712
24411,0.0,1.0,23901,0.0,50992.4328179885,0.5394216258904712
24412,0.0,1.0,23902,0.0,50992.4328179885,0.5394216258904712
24413,0.0,1.0,23903,0.0,50971.92536277723,0.5394216258904712
24414,0.0,1.0,23904,0.0,50971.92536277723,0.5394216258904712
24415,0.0,1.0,23905,0.0,50971.92536277723,0.5394216258904712
24416,0.0,1.0,23906,0.0,50971.92536277723,0.5394216258904712
24417,0.0,1.0,23907,0.0,50962.41275546514,0.5394216258904712
24418,0.0,1.0,23908,0.0,50962.41275546514,0.5394216258904712
24419,0.0,1.0,23909,0.0,50982.957735754564,0.5394216258904712
24420,0.0,1.0,23910,0.0,50982.957735754564,0.5394216258904712
24421,0.0,1.0,23911,0.0,50982.957735754564,0.5394216258904712
24422,0.0,1.0,23912,0.0,50982.957735754564,0.5394216258904712
24423,0.0,1.0,23913,0.0,50986.4475680229,0.5394216258904712
24424,0.0,1.0,23914,0.0,50986.4475680229,0.5394216258904712
24425,0.0,1.0,23915,0.0,50986.4475680229,0.5394216258904712
24426,0.0,1.0,23916,0.0,50986.4475680229,0.5394216258904712
24427,0.0,1.0,23917,0.0,51026.11157563189,0.5394216258904712
24428,0.0,1.0,23918,0.0,51026.11157563189,0.5394216258904712
24429,0.0,1.0,23919,0.0,51026.11157563189,0.5394216258904712
24430,0.0,1.0,23920,0.0,51026.11157563189,0.5394216258904712
24431,0.0,1.0,23921,0.0,51026.11157563189,0.5394216258904712
24432,0.0,1.0,23922,0.0,51026.11157563189,0.5394216258904712
24433,0.0,1.0,23923,0.0,51026.11157563189,0.5394216258904712
24434,0.0,1.0,23924,0.0,51026.11157563189,0.5394216258904712
24435,0.0,1.0,23925,0.0,51107.353369835735,0.5394216258904712
24436,0.0,1.0,23926,0.0,51107.353369835735,0.5394216258904712
24437,0.0,1.0,23927,0.0,51107.353369835735,0.5394216258904712
24438,0.0,1.0,23928,0.0,51107.353369835735,0.5394216258904712
24439,0.0,1.0,23929,0.0,51107.353369835735,0.5394216258904712
24440,0.0,1.0,23930,0.0,51107.353369835735,0.5394216258904712
24441,0.0,1.0,23931,0.0,51107.353369835735,0.5394216258904712
24442,0.0,1.0,23932,0.0,51107.353369835735,0.5394216258904712
24443,0.0,1.0,23933,0.0,51107.353369835735,0.5394216258904712
24444,0.0,1.0,23934,0.0,51107.353369835735,0.5394216258904712
24445,0.0,1.0,23935,0.0,50968.060279727346,0.5394216258904712
24446,0.0,1.0,23936,0.0,51083.48742012966,0.5394216258904712
24447,0.0,1.0,23937,0.0,51083.48742012966,0.5394216258904712
24448,0.0,1.0,23938,0.0,51083.48742012966,0.5394216258904712
24449,0.0,1.0,23939,0.0,51083.48742012966,0.5394216258904712
24450,0.0,1.0,23940,0.0,51083.48742012966,0.5394216258904712
24451,0.0,1.0,23941,0.0,51083.48742012966,0.5394216258904712
24452,0.0,1.0,23942,0.0,51083.48742012966,0.5394216258904712
24453,0.0,1.0,23943,0.0,51083.48742012966,0.5394216258904712
24454,0.0,1.0,23944,0.0,51083.48742012966,0.5394216258904712
24455,0.0,1.0,23945,0.0,51083.48742012966,0.5394216258904712
24456,0.0,1.0,23946,0.0,51016.5239181635,0.5394216258904712
24457,0.0,1.0,23947,0.0,51016.5239181635,0.5394216258904712
24458,0.0,1.0,23948,0.0,51071.29176972955,0.5394216258904712
24459,0.0,1.0,23949,0.0,51071.29176972955,0.5394216258904712
24460,0.0,1.0,23950,0.0,51071.29176972955,0.5394216258904712
24461,0.0,1.0,23951,0.0,51071.29176972955,0.5394216258904712
24462,0.0,1.0,23952,0.0,51071.29176972955,0.5394216258904712
24463,0.0,1.0,23953,0.0,51071.29176972955,0.5394216258904712
24464,0.0,1.0,23954,0.0,51071.29176972955,0.5394216258904712
24465,0.0,1.0,23955,0.0,51071.29176972955,0.5394216258904712
24466,0.0,1.0,23956,0.0,51071.29176972955,0.5394216258904712
24467,0.0,1.0,23957,0.0,51071.29176972955,0.5394216258904712
24468,0.0,1.0,23958,0.0,50973.52017859878,0.5394216258904712
24469,0.0,1.0,23959,0.0,50973.52017859878,0.5394216258904712
24470,0.0,1.0,23960,0.0,50973.52017859878,0.5394216258904712
24471,0.0,1.0,23961,0.0,50973.52017859878,0.5394216258904712
24472,0.0,1.0,23962,0.0,50973.52017859878,0.5394216258904712
24473,0.0,1.0,23963,0.0,50973.52017859878,0.5394216258904712
24474,0.0,1.0,23964,0.0,50973.52017859878,0.5394216258904712
24475,0.0,1.0,23965,0.0,50973.52017859878,0.5394216258904712
24476,0.0,1.0,23966,0.0,50968.11656734458,0.5394216258904712
24477,0.0,1.0,23967,0.0,50968.11656734458,0.5394216258904712
24478,0.0,1.0,23968,0.0,50983.89586270842,0.5394216258904712
24479,0.0,1.0,23969,0.0,50983.89586270842,0.5394216258904712
24480,0.0,1.0,23970,0.0,50983.89586270842,0.5394216258904712
