TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
21:09:59:228,120001036,49577480,2406431,113,0
21:09:59:428,120000871,49954050,2387264,113,0
21:09:59:628,120000919,49574455,2403188,108,0
21:09:59:828,120000922,49758401,2393835,112,0
21:10:00:028,120001136,49783908,2397074,110,0
21:10:00:228,120000796,49589236,2399506,106,0
21:10:00:428,120001483,49894378,2384368,111,0
21:10:00:628,120001522,49545021,2401908,107,0
21:10:00:828,120000756,49745595,2391192,105,0
21:10:01:028,120001440,49813894,2402174,113,0
21:10:01:228,120000903,49658518,2397549,109,0
21:10:01:428,120001121,49841867,2390388,127,0
21:10:01:628,120001409,49560507,2404694,112,0
21:10:01:828,120000609,49787111,2384262,124,0
21:10:02:028,120001046,49679742,2397647,108,0
21:10:02:228,120000673,49583681,2398244,103,0
21:10:02:428,120001563,49938261,2390565,109,0
21:10:02:628,120001139,49511908,2399117,115,0
21:10:02:828,120000684,49780028,2389830,114,0
21:10:03:028,120001532,49779973,2403454,115,0
21:10:03:228,120000842,49544093,2392773,116,0
21:10:03:428,120001187,49937924,2391185,112,0
21:10:03:628,120001490,49560812,2404548,113,0
21:10:03:828,120000511,49767482,2384074,111,0
21:10:04:028,120001086,49721072,2401327,104,0
21:10:04:228,120000892,49760003,2398314,106,0
21:10:04:428,120001307,49768813,2391546,113,0
21:10:04:628,120000606,49582761,2405074,112,0
21:10:04:828,120000721,49896129,2384010,108,0
21:10:05:028,120001235,49628893,2409130,116,0
21:10:05:228,120000799,49972995,2392203,113,0
21:10:05:428,120001126,49664352,2410756,114,0
21:10:05:628,120000804,49771174,2387907,114,0
